"title","year","userRating","votes","runtime","mpaaRating","genre","releaseDate","story","director","writer","stars","metacriticScore","awardWins","awardNominations","tagline","country","language","filmingLocations","budget","openingWeekendUS","grossUS","cumulativeWorldwideGross","productionCompany"
"Satyamev Jayate","2012","8.7","6,441",NA,"TV-14","Documentary,Talk-Show","TV Series (2012– )","Aamir Khan hosts and produces this documentary/talkshow that explores the social issues affecting modern India.","Stars:Aamir Khan, Devendra Singh Gaur, Sridevi            |See full cast & crew »",NA,NA,"",NA,NA,"","India","Hindi","","","","","","Aamir Khan Productions"
"Boardwalk Empire","2010","8.5","167,511","55 min","TV-MA","Crime,Drama,History","TV Series (2010–2014)","An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.","Creator:Terence Winter","Stars:Steve Buscemi, Kelly Macdonald, Michael Shannon","Stars:Steve Buscemi, Kelly Macdonald, Michael Shannon","","64","184","Atlantic City, 1920. When alcohol was outlawed, outlaws became kings.","USA","English","Ditmas Park, Brooklyn, New York City, New York, USA","","","","","Home Box Office (HBO), Leverage Management, Closest to the Hole Productions"
"Sacred Games","2018","8.7","68,035","50 min","TV-MA","Action,Crime,Drama","TV Series (2018– )","A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm.","Creator:Varun Grover","Stars:Saif Ali Khan, Nawazuddin Siddiqui, Neeraj Kabi","Stars:Saif Ali Khan, Nawazuddin Siddiqui, Neeraj Kabi","","2","6","The righteous. The ruthless. Everyone wants to play.","India,USA","Hindi,Indian Sign Language,Marathi,English","","","","","","Netflix, Phantom Films, Phantom Films"
"Adventure Time with Finn & Jake","2010","8.6","72,692","11 min","TV-PG","Animation,Action,Adventure","TV Series (2010–2018)","A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future.","Creator:Pendleton Ward","Stars:John DiMaggio, Jeremy Shada, Tom Kenny","Stars:John DiMaggio, Jeremy Shada, Tom Kenny","","26","48","","USA","English,Korean","","","","","","Frederator Studios, Cartoon Network Studios, Cartoon Network"
"Shameless","2011","8.6","190,991","46 min","TV-MA","Comedy,Drama","TV Series (2011– )","A scrappy, feisty, fiercely loyal Chicago family makes no apologies.","Creators:Paul Abbott, John Wells","Stars:Emmy Rossum, William H. Macy, Ethan Cutkosky","Stars:Emmy Rossum, William H. Macy, Ethan Cutkosky","","14","66","The Gallaghers. Absolutely, Wildly, Unapologetically... Shameless (Season 1)","USA","English","2119 S Homan Ave, Chicago, Illinois, USA","","","","","Bonanza Productions, John Wells Productions, Warner Bros. Television"
"The Bugs Bunny/Road Runner Hour","1968","8.5","9,000","50 min",NA,"Animation,Comedy","TV Series (1968–1978)","Bugs Bunny and all his cartoon friends are stage performers entertaining audiences with 7 features per show, all of which are classic theatrical cartoons from the 1940s, 1950s, and 1960s. ...                    See full summary »","Stars:Mel Blanc, Jim Backus, Bea Benaderet            |See full cast & crew »",NA,NA,"",NA,NA,"","USA","English","","","","","","Warner Bros. Television"
"Dragon Ball","1995","8.5","51,216",NA,"TV-14","Animation,Action,Adventure","TV Series (1995–2003)","Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once all 7 are gathered, grant any wish of choice.","Stars:Brice Armstrong, Steve Olson, Stephanie Nadolny            |See full cast & crew »",NA,NA,"",NA,NA,"The big showdown with Piccolo!","Japan","English,Japanese","","","","","","FUNimation Entertainment, Harmony Gold, Ocean Group"
"Doctor Who","2005","8.6","194,429","45 min","TV-PG","Adventure,Drama,Family","TV Series (2005– )","The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.","Creator:Sydney Newman","Stars:Jodie Whittaker, Peter Capaldi, Pearl Mackie","Stars:Jodie Whittaker, Peter Capaldi, Pearl Mackie","","115","206","All of time and space... Follow me. (Series 5)","UK,Canada","English","Penarth, Cardiff, South Glamorgan, Wales, UK","","$228,615,5 January 2020","$76,205","$76,205","BBC Wales, British Broadcasting Corporation (BBC), Canadian Broadcasting Corporation (CBC)"
"Samurai chanpurû","2004","8.5","38,298",NA,"TV-MA","Animation,Action,Adventure","TV Series (2004–2005)","Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""","Stars:Kazuya Nakai, Ginpei Sato, Ayako Kawasumi            |See full cast & crew »",NA,NA,"",NA,NA,"Death, betrayal, and... hip hop!","Japan","Japanese","","","","","","Barnum Studio, Flying Dog, Fuji Television Network"
"Love, Death & Robots","2019","8.5","85,911","15 min","TV-MA","Animation,Short,Comedy","TV Series (2019– )","A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy.","Creator:Tim Miller","Stars:Scott Whyte, Nolan North, Matthew Yang King","Stars:Scott Whyte, Nolan North, Matthew Yang King","","9","5","","USA","English","Chicago Illinois, USA","","","","","Blur Studio, Netflix"
"The Untold History of the United States","2012","8.6","7,816","58 min",NA,"Documentary,History,War","TV Series (2012–2013)","Oliver Stone 's re-examination of under-reported events in American history.","Stars:Oliver Stone, Alan Shearman, Jim Ward            |See full cast & crew »",NA,NA,"",NA,NA,"","USA","English","","","","","","Ixtlan Productions, Showtime Networks"
"Yes, Prime Minister","1986","8.6","9,178","30 min","TV-PG","Comedy","TV Series (1986–1987)","James Hacker was propelled along the corridors of power to the very pinnacle of politics - Number 10.","Stars:Paul Eddington, Nigel Hawthorne, Derek Fowlds            |See full cast & crew »",NA,NA,"","5","7","","UK","English","","","","","","British Broadcasting Corporation (BBC)"
"Flight of the Conchords","2007","8.5","53,680","28 min","TV-MA","Comedy,Music,Musical","TV Series (2007–2009)","Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom.","Creators:James Bobin, Jemaine Clement, Bret McKenzie","Stars:Jemaine Clement, Bret McKenzie, Rhys Darby","Stars:Jemaine Clement, Bret McKenzie, Rhys Darby","","3","23","Born to folk!","USA,New Zealand","English","28 Henry Street, New York City, New York, USA","","","","","Dakota Pictures, Home Box Office (HBO)"
