"title","year","userRating","votes","runtime","mpaaRating","genre","releaseDate","story","director","writer","stars","metacriticScore","awardWins","awardNominations","tagline","country","language","filmingLocations","budget","openingWeekendUS","grossUS","cumulativeWorldwideGross","productionCompany"
"Planet Earth II","2016","9.5","89,748","298 min","TV-G","Documentary","TV Mini-Series (2016)","David Attenborough returns in this breathtaking documentary showcasing life on Planet Earth.","Star:David Attenborough",NA,NA,"","13","21","","UK","English","","","","","","BBC Natural History Unit (NHU), BBC America, Zweites Deutsches Fernsehen (ZDF)"
"Planet Earth","2006","9.4","161,358","538 min","TV-PG","Documentary","TV Mini-Series (2006)","Emmy Award-winning, 11 episodes, five years in the making, the most expensive nature documentary series ever commissioned by the BBC, and the first to be filmed in high definition.","Stars:David Attenborough, Sigourney Weaver, Thomas Anguti Johnston            |See full cast & crew »",NA,NA,"","15","15","Prepare to see it as never before.","UK","English","","","","","","British Broadcasting Corporation (BBC)"
"Band of Brothers","2001","9.4","357,434","594 min","TV-MA","Action,Drama,History","TV Mini-Series (2001)","The story of Easy Company of the U.S. Army 101st Airborne Division, and their mission in World War II Europe, from Operation Overlord, through V-J Day.","Stars:Scott Grimes, Damian Lewis, Ron Livingston            |See full cast & crew »",NA,NA,"","34","25","Ordinary men. Extraordinary times.","USA,UK","English,Dutch,French,German,Lithuanian","Ashdown Forest, East Sussex, England, UK","$125,000,000","","","","DreamWorks, DreamWorks Television, HBO Films"
"Breaking Bad","2008","9.5","1,370,215","49 min","TV-MA","Crime,Drama,Thriller","TV Series (2008–2013)","A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.","Creator:Vince Gilligan","Stars:Bryan Cranston, Aaron Paul, Anna Gunn","Stars:Bryan Cranston, Aaron Paul, Anna Gunn","","153","234","All Hail The King (season 5, part 1)","USA","English,Spanish","906 Park Avenue SW, Albuquerque, New Mexico, USA","","","","","High Bridge Productions, Gran Via Productions, Sony Pictures Television"
"Chernobyl","2019","9.4","478,281","330 min","TV-MA","Drama,History,Thriller","TV Mini-Series (2019)","In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.","Creator:Craig Mazin","Stars:Jessie Buckley, Jared Harris, Stellan Skarsgård","Stars:Jessie Buckley, Jared Harris, Stellan Skarsgård","","57","57","What is the cost of lies?","USA,UK","English","Vilnius, Lithuania","","","","","Home Box Office (HBO), Sister Pictures, Sky Television"
"The Wire","2002","9.3","270,651","59 min","TV-MA","Crime,Drama,Thriller","TV Series (2002–2008)","The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.","Creator:David Simon","Stars:Dominic West, Lance Reddick, Sonja Sohn","Stars:Dominic West, Lance Reddick, Sonja Sohn","","16","53","Rules change. The game remains the same. (third season)","USA","English,Greek,Mandarin,Spanish","Baltimore, Maryland, USA","","","","","Blown Deadline Productions, Home Box Office (HBO)"
"Blue Planet II","2017","9.3","29,890","364 min","TV-G","Documentary","TV Mini-Series (2017–2018)","David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face.","Stars:David Attenborough, Peter Drost, Roger Munns            |See full cast & crew »",NA,NA,"","11","12","Take a deep breath","UK","English","","","","","$205,531","BBC Natural History Unit (NHU), BBC Studios, OceanX Media"
"Our Planet","2019","9.3","26,823","403 min","TV-G","Documentary","TV Mini-Series (2019)","Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and diverse jungles of South America.","Star:David Attenborough",NA,NA,"","4","19","","USA,UK","English","","","","","","Silverback Films"
"Cosmos: A Spacetime Odyssey","2014","9.3","106,421","557 min","TV-PG","Documentary","TV Series (2014)","An exploration of our discovery of the laws of nature and coordinates in space and time.","Stars:Neil deGrasse Tyson, Stoney Emshwiller, Piotr Michael            |See full cast & crew »",NA,NA,"","16","23","","USA","English","Northern California, California, USA","","","","","Cosmos Studios, Fuzzy Door Productions, National Geographic Channel"
"Game of Thrones","2011","9.3","1,688,050","57 min","TV-MA","Action,Adventure,Drama","TV Series (2011–2019)","Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.","Creators:David Benioff, D.B. Weiss","Stars:Emilia Clarke, Peter Dinklage, Kit Harington","Stars:Emilia Clarke, Peter Dinklage, Kit Harington","","375","604","Winter is coming.","USA,UK","English","Iceland","","","","","Home Box Office (HBO), Television 360, Grok! Studio"
"Cosmos","1980","9.3","34,928","60 min","TV-PG","Documentary","TV Series (1980)","Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.","Creators:Ann Druyan, Carl Sagan, Steven Soter","Stars:Carl Sagan, Jaromír Hanzlík, Jonathan Fahn","Stars:Carl Sagan, Jaromír Hanzlík, Jonathan Fahn","","4","3","","USA,UK","English","Alaska, USA","$8,250,000","","","","KCET, Carl Sagan Productions, British Broadcasting Corporation (BBC)"
"Rick and Morty","2013","9.2","346,586","23 min","TV-14","Animation,Adventure,Comedy","TV Series (2013– )","An animated series that follows the exploits of a super scientist and his not-so-bright grandson.","Creators:Dan Harmon, Justin Roiland","Stars:Justin Roiland, Chris Parnell, Spencer Grammer","Stars:Justin Roiland, Chris Parnell, Spencer Grammer","","16","16","Science makes sense, family doesn't.","USA","English","","","","","","Green Portal Productions, Harmonius Claptrap, Justin Roiland's Solo Vanity Card Productions"
"The Last Dance","2020","9.2","55,315","60 min","TV-MA","Documentary,Biography,History","TV Mini-Series (2020)","Charting the rise of the 1990's Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.","Stars:Phil Jackson, Michael Jordan, David Aldridge            |See full cast & crew »",NA,NA,"","0",NA,"","USA","English","","","","","","ESPN Films, NBA Entertainment, Mandalay Sports Media (MSM)"
"Avatar: The Last Airbender","2005","9.2","223,946","23 min","TV-Y7-FV","Animation,Action,Adventure","TV Series (2005–2008)","In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.","Creators:Michael Dante DiMartino, Bryan Konietzko","Stars:Zach Tyler, Jack De Sena, Dee Bradley Baker","Stars:Zach Tyler, Jack De Sena, Dee Bradley Baker","","9","6","Welcome to the Inferno","USA","English","","","","","","Nickelodeon Animation Studios"
"The Sopranos","1999","9.2","281,738","55 min","TV-MA","Crime,Drama","TV Series (1999–2007)","New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.","Creator:David Chase","Stars:James Gandolfini, Lorraine Bracco, Edie Falco","Stars:James Gandolfini, Lorraine Bracco, Edie Falco","","118","303","Family. Redefined. (season 2)","USA","English,Italian,Russian","Newburgh, New York, USA","","","","","Home Box Office (HBO), Brillstein Entertainment Partners, The Park Entertainment"
"The World at War","1973","9.2","20,975","52 min","TV-PG","Documentary,History,War","TV Series (1973–1976)","A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II.","Stars:Laurence Olivier, Anthony Eden, Averell Harriman            |See full cast & crew »",NA,NA,"","2","3","","UK","English,German,French,Japanese","","","","","","Imperial War Museum, Thames Television"
"Life","2009","9.1","36,884","473 min","TV-G","Documentary","TV Mini-Series (2009)","David Attenborough 's legendary BBC crew explains and shows wildlife all over planet earth in 10 episodes. The first is an overview of the challenges facing life, the others are dedicated ...                    See full summary »","Stars:Oprah Winfrey, David Attenborough, Doug Allan            |See full cast & crew »",NA,NA,"","3","10","Four years, 3000 filming days, ten part blockbuster.","UK,USA,Greece,Italy,Germany","English","Antarctica","","","","","British Broadcasting Corporation (BBC), Discovery Channel, SKAI"
"Hagane no renkinjutsushi","2009","9.1","106,713","24 min","TV-14","Animation,Action,Adventure","TV Series (2009–2012)","Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.","Creator:Hiromu Arakawa","Stars:Kent Williams, Iemasa Kayumi, Vic Mignogna","Stars:Kent Williams, Iemasa Kayumi, Vic Mignogna","","3","4","","Japan","Japanese","","","","","","Bones, Square Enix Company"
"Sherlock","2010","9.1","769,113","88 min","TV-14","Crime,Drama,Mystery","TV Series (2010–2017)","A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.","Creators:Mark Gatiss, Steven Moffat","Stars:Benedict Cumberbatch, Martin Freeman, Una Stubbs","Stars:Benedict Cumberbatch, Martin Freeman, Una Stubbs","","88","173","The world's favourite detective has emerged from the fog...this is Sherlock for a new generation.","UK,USA","English","St. Bartholomew's Hospital, London, England, UK","","","","","Hartswood Films, BBC Wales, Masterpiece Theatre"
"The Vietnam War","2017","9.1","18,372","990 min","TV-MA","Documentary,History,War","TV Mini-Series (2017)","A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.","Stars:Peter Coyote, Huy Duc, James Willbanks            |See full cast & crew »",NA,NA,"","5","10","There is no single truth in war.","","","","","","","","Florentine Films"
"The Twilight Zone","1959","9.0","67,737","51 min","TV-PG","Drama,Fantasy,Horror","TV Series (1959–1964)","Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.","Creator:Rod Serling","Stars:Rod Serling, Robert McCord, Jay Overholts","Stars:Rod Serling, Robert McCord, Jay Overholts","","9","14","","USA","English","Yuma, Arizona, USA","","","","","Cayuga Productions, CBS Television Network"
"Sahsiyet","2018","9.1","25,444","65 min",NA,"Crime,Drama,Mystery","TV Mini-Series (2018)","A man diagnosed with Alzheimers decides to punish criminals.","Stars:Haluk Bilginer, Cansu Dere, Metin Akdülger            |See full cast & crew »",NA,NA,"","2","9","","Turkey","Turkish","Istanbul, Turkey","","","","","Ay Yapim"
"The Beatles Anthology","1995","9.1","6,874","600 min",NA,"Documentary,Music","TV Mini-Series (1995–1996)","An autobiographical documentary of the greatest of the rock bands.","Stars:Paul McCartney, George Harrison, Ringo Starr            |See full cast & crew »",NA,NA,"","2","4","","UK","English,French","Henley-on-Thames, Oxfordshire, England, UK","","","","","Apple Corps, Capitol Records, Granada Television"
"Human Planet","2011","9.0","22,753","50 min","TV-PG","Documentary","TV Mini-Series (2011)","Like all life forms, humanity partially adapts to types of natural environment, yet also tends to change them. Each episode examines how life differs for men and nature in some type of ...                    See full summary »","Stars:John Hurt, Roger Munns",NA,NA,"","2","4","","UK","English","","","","","","British Broadcasting Corporation (BBC)"
"The Blue Planet","2001","9.0","32,910","389 min","TV-G","Documentary","TV Series (2001)","Mammoth series, five years in the making, taking a look at the rich tapestry of life in the world's oceans.","Stars:David Attenborough, Pierce Brosnan, Jason Roberts",NA,NA,"","6","12","","UK","English","","GBP7,000,000","","","$791,249","Arbeitsgemeinschaft der öffentlich-rechtlichen Rundfunkanstalten der Bundesrepublik Deutschland (ARD), British Broadcasting Corporation (BBC)"
"Batman: The Animated Series","1992","9.0","83,008","23 min","TV-PG","Animation,Action,Adventure","TV Series (1992–1995)","The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.","Creators:Bob Kane, Eric Radomski, Bruce Timm            |2 more credits »","Stars:Kevin Conroy, Loren Lester, Efrem Zimbalist Jr.","Stars:Kevin Conroy, Loren Lester, Efrem Zimbalist Jr.","","5","19","Tales Of The Dark Knight","USA","English","Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","","","","","Warner Bros. Animation, Warner Bros. Television"
"Frozen Planet","2011","9.0","25,453","60 min","TV-PG","Documentary","TV Mini-Series (2011–2012)","Focuses on life and the environment in both the Arctic and Antarctic.","Stars:David Attenborough, Alec Baldwin, Chadden Hunter            |See full cast & crew »",NA,NA,"","10","9","","UK,USA,Spain,Germany,Greece,Canada","English,Russian","North Pole, Arctic","","","","","British Broadcasting Corporation (BBC), Discovery Channel, Antena 3 Televisión"
"Firefly","2002","9.0","237,646","44 min","TV-14","Adventure,Drama,Sci-Fi","TV Series (2002–2003)","Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.","Creator:Joss Whedon","Stars:Nathan Fillion, Gina Torres, Alan Tudyk","Stars:Nathan Fillion, Gina Torres, Alan Tudyk","","5","8","Meet the most spaced-out crew in the galaxy.","USA","English,Mandarin","Alabama Hills, Lone Pine, California, USA","","","","","Mutant Enemy, 20th Century Fox Television"
"Dekalog","1989","9.0","20,746","572 min","TV-MA","Drama","TV Mini-Series (1989–1990)","Ten television drama films, each one based on one of the Ten Commandments.","Stars:Artur Barcis, Olgierd Lukaszewicz, Aleksander Bardini            |See full cast & crew »",NA,NA,"100","9",NA,"","Poland,West Germany","Polish","Poland","","$18,532,4 September 2016","$762,214","$762,214","Sender Freies Berlin (SFB), Telewizja Polska (TVP), Zespol Filmowy ""Tor"""
"True Detective","2014","9.0","479,571","55 min","TV-MA","Crime,Drama,Mystery","TV Series (2014– )","Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.","Creator:Nic Pizzolatto","Stars:Vince Vaughn, Colin Farrell, Rachel McAdams","Stars:Vince Vaughn, Colin Farrell, Rachel McAdams","","30","90","Touch darkness and darkness touches you back. (Season 1)","USA","English","Louisiana, USA","","","","","Anonymous Content, HBO Entertainment, Passenger"
"The Civil War","1990","9.0","12,839",NA,"TV-14","Documentary,History,War","TV Mini-Series (1990)","A comprehensive survey of the American Civil War.","Stars:David McCullough, Sam Waterston, Julie Harris            |See full cast & crew »",NA,NA,"","13","3","It divided a country.  It created a nation.","USA","English","","","","","","American Documentaries Inc., Florentine Films, Kenneth Lauren Burns"
"Death Note: Desu nôto","2006","9.0","213,860","24 min","TV-14","Animation,Crime,Drama","TV Series (2006–2007)","An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.","Stars:Mamoru Miyano, Brad Swaile, Vincent Tong            |See full cast & crew »",NA,NA,"","2","0","The hunted becomes the hunter!","Japan","Japanese","","","","","","D.N. Dream Partners, Madhouse, Nippon Television Network (NTV)"
"Apocalypse: La 2ème guerre mondiale","2009","9.0","9,026","312 min",NA,"Documentary,History,War","TV Mini-Series (2009)","Apocalypse: The Second World War(2009) is a six-part French documentary about the Second World War. The documentary is composed exclusively of actual footage of the war as filmed by war ...                    See full summary »","Stars:Mathieu Kassovitz, Martin Sheen",NA,NA,"",NA,NA,"","France","French","","","","","","CC&C Clarke Costelle & Cie, Établissement de Communication et de Production Audiovisuelle de la Défense (ECPAD), NHK"
"Fargo","2014","8.9","304,681","53 min","TV-MA","Crime,Drama,Thriller","TV Series (2014– )","Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","Creator:Noah Hawley","Stars:Billy Bob Thornton, Martin Freeman, Allison Tolman","Stars:Billy Bob Thornton, Martin Freeman, Allison Tolman","","59","210","In the beginning... (Season 2)","USA","English,German,Korean,Spanish,American Sign Language,French,Russian,Hebrew","Calgary, Alberta, Canada","","","","","MGM Television, FX Productions, 26 Keys Productions"
"Kaubôi bibappu","1998","8.9","83,890","24 min","TV-14","Animation,Action,Adventure","TV Series (1998–1999)","The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.","Creator:Hajime Yatate","Stars:Kôichi Yamadera, Unshô Ishizuka, Megumi Hayashibara","Stars:Kôichi Yamadera, Unshô Ishizuka, Megumi Hayashibara","",NA,NA,"See You Space Cowboy... (ending tagline)","Japan","Japanese,English","New York City, New York, USA","","","","","Bandai Visual Company, Sunrise"
"Africa","2013","9.0","13,390","360 min",NA,"Documentary","TV Mini-Series (2013)","Africa, the world's wildest continent. David Attenborough takes us on an awe-inspiring journey through one of the most diverse places in the world. We visit deserts, savannas, and jungles and meet up with some of Africa's amazing wildlife.","Stars:David Attenborough, Simon Blakeney, James Aldred            |See full cast & crew »",NA,NA,"",NA,"3","","UK","English","","","","","","BBC Bristol, Discovery Channel, CCTV-9"
"When They See Us","2019","8.9","78,162","296 min","TV-MA","Biography,Crime,Drama","TV Mini-Series (2019)","Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.","Creator:Ava DuVernay","Stars:Asante Blackk, Caleel Harris, Ethan Herisse","Stars:Asante Blackk, Caleel Harris, Ethan Herisse","","25","76","What if all boys were created equal?","USA","English","New York City, New York, USA","","","","","Forward Movement, Harpo Films, Participant"
"Last Week Tonight with John Oliver","2014","8.9","75,284","30 min","TV-MA","Comedy,News,Talk-Show","TV Series (2014– )","Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.","Stars:John Oliver, David Kaye, Ryan Barger            |See full cast & crew »",NA,NA,"","50","53","Just like the nightly news. Only weeklier.","USA","English","CBS Broadcast Center, Manhattan, New York City, New York, USA","","","","","Sixteen String Jack Productions, Avalon Television, Home Box Office (HBO)"
"Ramayan","1987","9.3","10,920","30 min",NA,"Family,Fantasy,War","TV Series (1987–1988)","An adaptation of the ancient epic, in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana.","Creator:Ramanand Sagar","Stars:Arun Govil, Deepika Chikhalia, Sunil Lahri","Stars:Arun Govil, Deepika Chikhalia, Sunil Lahri","",NA,NA,"","India","Hindi","","IDR100,000","","","","Sagar Arts"
"TVF Pitchers","2015","9.2","49,151","40 min","TV-MA","Comedy,Drama","TV Mini-Series (2015)","A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.","Creator:Arunabh Kumar","Stars:Naveen Kasturia, Arunabh Kumar, Jitendra Kumar","Stars:Naveen Kasturia, Arunabh Kumar, Jitendra Kumar","",NA,NA,"","India","Hindi,English","","","","","","Contagious Online Media Network, The Viral Fever"
"Hunter x Hunter","2011","8.9","46,005","24 min","TV-14","Animation,Action,Adventure","TV Series (2011–2014)","Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks for his father who left him when he was younger.","Creator:Yoshihiro Togashi","Stars:Issei Futamata, Megumi Han, Cristina Valenzuela","Stars:Issei Futamata, Megumi Han, Cristina Valenzuela","","2","0","","Japan","English,Japanese","","","","","$114,796","Madhouse, Nippon Television Network (NTV), Shueisha"
"Only Fools and Horses....","1981","8.9","44,566","30 min","TV-PG","Comedy","TV Series (1981–2003)","Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.","Creator:John Sullivan","Stars:David Jason, Nicholas Lyndhurst, Roger Lloyd Pack","Stars:David Jason, Nicholas Lyndhurst, Roger Lloyd Pack","","17","15","","UK","English","Brighton, East Sussex, England, UK","","","","","British Broadcasting Corporation (BBC)"
"The Office","2005","8.9","367,138","22 min","TV-14","Comedy","TV Series (2005–2013)","A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.","Creators:Greg Daniels, Ricky Gervais, Stephen Merchant","Stars:Steve Carell, Jenna Fischer, John Krasinski","Stars:Steve Carell, Jenna Fischer, John Krasinski","","48","186","An NBC comedy not for everyone. Just anyone that works.","USA","English","Chandler Valley Center Studios - 13927 Saticoy St, Panorama City, California, USA","","","","","Reveille Productions, NBC Universal Television, 3 Arts Entertainment"
"Friends","1994","8.9","772,348","22 min","TV-14","Comedy,Romance","TV Series (1994–2004)","Follows the personal and professional lives of six twenty to thirty-something-year-old friends living in Manhattan.","Creators:David Crane, Marta Kauffman","Stars:Jennifer Aniston, Courteney Cox, Lisa Kudrow","Stars:Jennifer Aniston, Courteney Cox, Lisa Kudrow","","77","214","All you need is Friends!","USA","English,Dutch,Italian,French","Las Vegas, Nevada, USA","","$246,168,24 November 2019","$89,007","$89,007","Bright/Kauffman/Crane Productions, Warner Bros. Television"
"Das Boot","1985","8.8","25,146","50 min","TV-MA","Drama,Thriller,War","TV Mini-Series (1985–1987)","A World War II German U-Boat crew have a terrifying patrol mission in the early days of the war.","Stars:Jürgen Prochnow, Herbert Grönemeyer, Klaus Wennemann            |See full cast & crew »",NA,NA,"","3","0","","West Germany,France,UK,Italy","German","Bodensee, Bavaria, Germany","","","","","Bavaria Film, British Broadcasting Corporation (BBC), RAI Radiotelevisione Italiana"
"Monty Python's Flying Circus","1969","8.8","64,967","30 min","TV-14","Comedy","TV Series (1969–1974)","The original surreal sketch comedy showcase for the Monty Python troupe.","Creators:Graham Chapman, Eric Idle, Terry Jones            |3 more credits »","Stars:Graham Chapman, John Cleese, Terry Gilliam","Stars:Graham Chapman, John Cleese, Terry Gilliam","","4","7","And now for something completely digital...","UK","English,Arabic,French,German,Italian,Mandarin,Spanish","Crown Rd, Isleworth, Twickenham, UK","","","","","British Broadcasting Corporation (BBC), Python (Monty) Pictures"
"Gravity Falls","2012","8.9","65,661","23 min","TV-Y7","Animation,Action,Adventure","TV Series (2012–2016)","Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.","Creator:Alex Hirsch","Stars:Jason Ritter, Alex Hirsch, Kristen Schaal","Stars:Jason Ritter, Alex Hirsch, Kristen Schaal","","13","34","Just West of Weird.","USA","English","","","","","","Disney Television Animation, Disney Television Animation"
"Seinfeld","1989","8.8","244,054","22 min","TV-PG","Comedy","TV Series (1989–1998)","The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.","Creators:Larry David, Jerry Seinfeld","Stars:Jerry Seinfeld, Julia Louis-Dreyfus, Michael Richards","Stars:Jerry Seinfeld, Julia Louis-Dreyfus, Michael Richards","","74","185","","USA","English","757 New Hampshire, Los Angeles, California, USA","","","","","West-Shapiro, Castle Rock Entertainment"
"Pride and Prejudice","1995","8.8","72,880","327 min","TV-PG","Drama,Romance","TV Mini-Series (1995)","While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.","Stars:Colin Firth, Jennifer Ehle, Susannah Harker            |See full cast & crew »",NA,NA,"","9","13","","UK","English","Longnor, Staffordshire, England, UK","","","","","British Broadcasting Corporation (BBC), Chestermead"
"How the Universe Works","2010","8.9","5,217","60 min","TV-PG","Documentary","TV Series (2010– )","A users guide to the cosmos from the big bang to galaxies, stars, planets and moons. Where did it all come from and how does it all fit together. A primer for anyone who has ever looked up at the night sky and wondered.","Stars:Phil Plait, Michelle Thaller, Mike Rowe            |See full cast & crew »",NA,NA,"",NA,NA,"","USA","English","","","","","",""
"Black Mirror","2011","8.8","408,442","60 min","TV-MA","Drama,Sci-Fi,Thriller","TV Series (2011– )","An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.","Creator:Charlie Brooker","Stars:Daniel Lapaine, Hannah John-Kamen, Michaela Coel","Stars:Daniel Lapaine, Hannah John-Kamen, Michaela Coel","","30","85",">> The future is bright./ (season 3)","UK","English","Los Angeles, California, USA","","","","$320,000","Zeppotron, Channel 4 Television Corporation, Gran Babieka"
"Twin Peaks","1990","8.8","167,369","47 min","TV-MA","Crime,Drama,Mystery","TV Series (1990–1991)","An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.","Creators:Mark Frost, David Lynch","Stars:Kyle MacLachlan, Michael Ontkean, Mädchen Amick","Stars:Kyle MacLachlan, Michael Ontkean, Mädchen Amick","","16","45","A town where everyone knows everyone and nothing is what it seems.","USA","English,Icelandic,Afrikaans,Norwegian","534 South Lewis Street, Monroe, Washington, USA","","","","","Lynch/Frost Productions, Propaganda Films, Spelling Entertainment"
"Nathan for You","2013","8.8","17,087","30 min","TV-14","Documentary,Comedy","TV Series (2013–2017)","Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for.","Creators:Nathan Fielder, Michael Koman","Stars:Nathan Fielder, Anthony Filosa, William Heath","Stars:Nathan Fielder, Anthony Filosa, William Heath","","2","5","","USA","English","","","","","","Abso Lutely Productions, Blow Out Productions, WDM"
"Over the Garden Wall","2014","8.8","36,168","110 min","TV-PG","Animation,Adventure,Drama","TV Mini-Series (2014)","Two brothers find themselves lost in a mysterious land and try to find their way home.","Creators:Katie Krentz, Patrick McHale","Stars:Elijah Wood, Collin Dean, Melanie Lynskey","Stars:Elijah Wood, Collin Dean, Melanie Lynskey","","4","8","Will you take a peek?","USA","English","","","","","","Cartoon Network Studios, Cartoon Network"
"One Punch Man: Wanpanman","2015","8.8","104,103","24 min","TV-PG","Animation,Action,Comedy","TV Series (2015– )","The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.","Stars:Makoto Furukawa, Kaito Ishikawa, Max Mittelman            |See full cast & crew »",NA,NA,"",NA,NA,"","Japan","Japanese,English","Tokyo, Japan","","","","","Asatsu, Bandai Namco Arts, Bandai Spirits"
"Narcos","2015","8.8","335,591","49 min","TV-MA","Biography,Crime,Drama","TV Series (2015–2017)","A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","Creators:Carlo Bernard, Chris Brancato, Doug Miro            |1 more credit »","Stars:Pedro Pascal, Wagner Moura, Boyd Holbrook","Stars:Pedro Pascal, Wagner Moura, Boyd Holbrook","","8","18","There's no business like blow business. (Season 1)","USA,Colombia,Mexico","English,Spanish","Bogotá, Colombia","","","","","Dynamo, Gaumont International Television, Netflix"
"Peaky Blinders","2013","8.8","297,595","60 min","TV-MA","Crime,Drama","TV Series (2013– )","A gangster family epic set in 1919 Birmingham, England; centered on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.","Creator:Steven Knight","Stars:Cillian Murphy, Paul Anderson, Helen McCrory","Stars:Cillian Murphy, Paul Anderson, Helen McCrory","","15","36","Time to make some real money.","UK","Italian,Yiddish,English,Romanian,Irish","Liverpool, Merseyside, England, UK","","","","","Caryn Mandabach Productions, Tiger Aspect Productions, British Broadcasting Corporation (BBC)"
"Blackadder Goes Forth","1989","8.8","46,872","175 min","TV-PG","Comedy,War","TV Series (1989)","Stuck in the middle of World War I, Captain Edmund Blackadder does his best to escape the banality of the war.","Stars:Rowan Atkinson, Tony Robinson, Stephen Fry            |See full cast & crew »",NA,NA,"","3","0","","UK","English","Colchester Garrison, Colchester, Essex, England, UK","","","","","British Broadcasting Corporation (BBC)"
"Dark","2017","8.8","213,053","60 min","TV-MA","Crime,Drama,Mystery","TV Series (2017–2020)","A family saga with a supernatural twist, set in a German town, where the disappearance of two young children exposes the relationships among four families.","Creators:Baran bo Odar, Jantje Friese","Stars:Louis Hofmann, Karoline Eichhorn, Lisa Vicari","Stars:Louis Hofmann, Karoline Eichhorn, Lisa Vicari","","5","17","","Germany,USA","German","Germany","","","","","Netflix, W&B Television"
"Freaks and Geeks","1999","8.8","124,947","44 min","TV-14","Comedy,Drama","TV Series (1999–2000)","A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.","Creator:Paul Feig","Stars:Linda Cardellini, John Francis Daley, James Franco","Stars:Linda Cardellini, John Francis Daley, James Franco","","4","15","It's 1980 and this is what high school was like for the rest of us.","USA","English","24219 Heritage Lane, Santa Clarita, California, USA","$1,500,000","","","","Apatow Productions, DreamWorks Television"
"Shingeki no kyojin","2013","8.8","142,905","24 min","TV-MA","Animation,Action,Adventure","TV Series (2013– )","After his hometown is destroyed and his mother is killed, young Eren Yeager vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.","Stars:Marina Inoue, Yûki Kaji, Yui Ishikawa            |See full cast & crew »",NA,NA,"","8","7","","Japan","English,Japanese","Chicago, Illinois, USA","","","","","Wit Studio, Production I.G., Dentsu"
